system:index,city,mean_AOD,.geo
0,Agartala,579.265,"{""type"":""Point"",""coordinates"":[91.2868,23.831499999999995]}"
1,Agra,639.3415492957747,"{""type"":""Point"",""coordinates"":[78.0081,27.176699999999997]}"
2,Ahmedabad,557.2689873417721,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
3,Ahmednagar,512.1730769230769,"{""type"":""Point"",""coordinates"":[74.7496,19.0952]}"
4,Aizawl,280.6834862385321,"{""type"":""Point"",""coordinates"":[92.7176,23.727099999999997]}"
5,Ajmer,465.0052083333333,"{""type"":""Point"",""coordinates"":[74.6399,26.4499]}"
6,Akola,692.0625,"{""type"":""Point"",""coordinates"":[77.0082,20.700200000000002]}"
7,Alappuzha,602.5891089108911,"{""type"":""Point"",""coordinates"":[76.3388,9.498100000000003]}"
8,Aligarh,576.8426966292135,"{""type"":""Point"",""coordinates"":[78.088,27.8974]}"
9,Allahabad,675.4915254237287,"{""type"":""Point"",""coordinates"":[81.8463,25.4358]}"
10,Ambattur,567.5309278350516,"{""type"":""Point"",""coordinates"":[80.1615,13.098200000000002]}"
11,Ambikapur,661.0671140939597,"{""type"":""Point"",""coordinates"":[83.1954,23.118899999999996]}"
12,Amravati,710.8666666666667,"{""type"":""Point"",""coordinates"":[77.7796,20.9374]}"
13,Amreli,440.605,"{""type"":""Point"",""coordinates"":[71.2226,21.603199999999998]}"
14,Amritsar,555.5130890052355,"{""type"":""Point"",""coordinates"":[74.8723,31.634]}"
15,Anand,539.4349112426036,"{""type"":""Point"",""coordinates"":[72.9289,22.5645]}"
16,Anantapur,481.13571428571424,"{""type"":""Point"",""coordinates"":[77.6006,14.6819]}"
17,Arrah,618.9285714285714,"{""type"":""Point"",""coordinates"":[84.663,25.556]}"
18,Asansol,779.5444444444445,"{""type"":""Point"",""coordinates"":[86.9833,23.685]}"
19,Aurangabad,522.5232558139535,"{""type"":""Point"",""coordinates"":[75.3433,19.8762]}"
20,Avadi,552.6813725490197,"{""type"":""Point"",""coordinates"":[80.1098,13.114700000000001]}"
21,Bangalore,569.3884297520661,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
22,Bardhaman,935.8597122302158,"{""type"":""Point"",""coordinates"":[87.8615,23.2324]}"
23,Bareilly,629.6024096385543,"{""type"":""Point"",""coordinates"":[79.4304,28.367]}"
24,Belgaum,502.91269841269843,"{""type"":""Point"",""coordinates"":[74.4977,15.849700000000004]}"
25,Bellary,612.5513698630136,"{""type"":""Point"",""coordinates"":[76.92140000000002,15.1394]}"
26,Berhampur,984.9295774647887,"{""type"":""Point"",""coordinates"":[84.7914,19.3115]}"
27,Bettiah,749.8421052631579,"{""type"":""Point"",""coordinates"":[84.5032,26.8024]}"
28,Bhagalpur,766.4514925373135,"{""type"":""Point"",""coordinates"":[86.9842,25.2425]}"
29,Bharatpur,548.3186274509803,"{""type"":""Point"",""coordinates"":[77.501,27.215200000000003]}"
30,Bhatpara,882.7542372881355,"{""type"":""Point"",""coordinates"":[88.4085,22.8717]}"
31,Bhavnagar,477.9256198347108,"{""type"":""Point"",""coordinates"":[72.1519,21.7645]}"
32,Bhilai,866.7551020408164,"{""type"":""Point"",""coordinates"":[81.3509,21.1938]}"
33,Bhilwara,508.88842975206614,"{""type"":""Point"",""coordinates"":[74.6333,25.35]}"
34,Bhiwandi,503.13125,"{""type"":""Point"",""coordinates"":[73.0483,19.2813]}"
35,Bhiwani,544.7408759124087,"{""type"":""Point"",""coordinates"":[76.1333,28.799699999999998]}"
36,Bhopal,529.8118279569892,"{""type"":""Point"",""coordinates"":[77.4126,23.2599]}"
37,Bhubaneswar,994.8487394957983,"{""type"":""Point"",""coordinates"":[85.8245,20.2961]}"
38,Bidar,658.015625,"{""type"":""Point"",""coordinates"":[77.5301,17.913300000000003]}"
39,Bijapur,524.9953703703704,"{""type"":""Point"",""coordinates"":[75.71,16.8302]}"
40,Bikaner,638.0911949685535,"{""type"":""Point"",""coordinates"":[73.3119,28.022900000000003]}"
41,Bilaspur,876.7784090909091,"{""type"":""Point"",""coordinates"":[82.1391,22.079600000000003]}"
42,Bokaro,704.017094017094,"{""type"":""Point"",""coordinates"":[86.1511,23.6693]}"
43,Bulandshahr,646.8867924528302,"{""type"":""Point"",""coordinates"":[77.85730000000001,28.403]}"
44,Burhanpur,655.9733333333334,"{""type"":""Point"",""coordinates"":[76.2303,21.3069]}"
45,Chandigarh,546.3364485981308,"{""type"":""Point"",""coordinates"":[76.7794,30.7333]}"
46,Chennai,618.8432835820895,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
47,Coimbatore,631.5909090909091,"{""type"":""Point"",""coordinates"":[76.9558,11.016799999999998]}"
48,Cuttack,985.5121951219512,"{""type"":""Point"",""coordinates"":[85.8828,20.4625]}"
49,Darbhanga,808.0116279069767,"{""type"":""Point"",""coordinates"":[85.8918,26.1542]}"
50,Davanagere,572.8782894736842,"{""type"":""Point"",""coordinates"":[75.921,14.464499999999996]}"
51,Dehradun,552.721393034826,"{""type"":""Point"",""coordinates"":[78.0322,30.316499999999994]}"
52,Delhi,626.8089887640449,"{""type"":""Point"",""coordinates"":[77.1025,28.7041]}"
53,Dhanbad,755.4653846153847,"{""type"":""Point"",""coordinates"":[86.4304,23.7957]}"
54,Dhule,555.8442028985507,"{""type"":""Point"",""coordinates"":[74.7749,20.9042]}"
55,Dibrugarh,361.5086206896552,"{""type"":""Point"",""coordinates"":[94.911,27.4728]}"
56,Durgapur,805.6141732283464,"{""type"":""Point"",""coordinates"":[87.3119,23.5204]}"
57,Erode,647.5591397849462,"{""type"":""Point"",""coordinates"":[77.7172,11.341]}"
58,Faridabad,626.115894039735,"{""type"":""Point"",""coordinates"":[77.3178,28.4089]}"
59,Farrukhabad,649.037688442211,"{""type"":""Point"",""coordinates"":[79.5801,27.3905]}"
60,Firozabad,618.1676829268292,"{""type"":""Point"",""coordinates"":[78.3958,27.1591]}"
61,Gandhinagar,576.818407960199,"{""type"":""Point"",""coordinates"":[72.6369,23.215599999999995]}"
62,Gaya,657.7723577235772,"{""type"":""Point"",""coordinates"":[85.0002,24.795500000000004]}"
63,Ghaziabad,626.9874213836479,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,Giridih,634.0903225806452,"{""type"":""Point"",""coordinates"":[86.3077,24.184400000000004]}"
65,Gopalpur,972.975,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,Gulbarga,634.77734375,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,Guna,527.2321428571429,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,Guntur,720.9623655913979,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,Gurgaon,558.1268115942029,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,Guwahati,792.1226415094341,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,Gwalior,558.7881944444445,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,Hanumangarh,577.076,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,Hapur,610.7988826815642,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,Hisar,511.29370629370635,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,Hosur,530.54,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,Howrah,843.5531914893617,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,Hubli-Dharwad,586.0036496350365,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,Hugli,889.804,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,Hyderabad,772.8846153846154,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,Ichalkaranji,582.1635802469136,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
81,Indore,530.5801886792452,"{""type"":""Point"",""coordinates"":[75.8577,22.7196]}"
82,Jabalpur,608.1805555555555,"{""type"":""Point"",""coordinates"":[79.9864,23.1815]}"
83,Jaipur,560.7676470588235,"{""type"":""Point"",""coordinates"":[75.7873,26.9124]}"
84,Jalandhar,570.6624999999999,"{""type"":""Point"",""coordinates"":[75.5762,31.326]}"
85,Jalgaon,563.7676056338028,"{""type"":""Point"",""coordinates"":[75.5626,21.0077]}"
86,Jalna,551.8922413793103,"{""type"":""Point"",""coordinates"":[75.8864,19.841]}"
87,Jammu,440.197247706422,"{""type"":""Point"",""coordinates"":[74.857,32.7266]}"
88,Jamnagar,449.75694444444446,"{""type"":""Point"",""coordinates"":[70.0577,22.4707]}"
89,Jamshedpur,810.203125,"{""type"":""Point"",""coordinates"":[86.2029,22.8046]}"
90,Jhansi,562.9821428571429,"{""type"":""Point"",""coordinates"":[78.5685,25.4484]}"
91,Jodhpur,502.0141242937853,"{""type"":""Point"",""coordinates"":[73.0243,26.238900000000005]}"
92,Kadapa,677.725,"{""type"":""Point"",""coordinates"":[78.82420000000002,14.467300000000002]}"
93,Kakinada,883.3782608695652,"{""type"":""Point"",""coordinates"":[82.2475,16.989099999999997]}"
94,Kalyan-Dombivli,550.6300578034682,"{""type"":""Point"",""coordinates"":[73.1305,19.240300000000005]}"
95,Kamarhati,906.281746031746,"{""type"":""Point"",""coordinates"":[88.3748,22.671099999999996]}"
96,Kanchipuram,615.1554054054054,"{""type"":""Point"",""coordinates"":[79.7036,12.8342]}"
97,Kanpur,601.5701754385965,"{""type"":""Point"",""coordinates"":[80.3319,26.4499]}"
98,Karimnagar,812.9495798319329,"{""type"":""Point"",""coordinates"":[79.1288,18.438599999999997]}"
99,Karnal,529.453237410072,"{""type"":""Point"",""coordinates"":[76.9905,29.6857]}"
100,Kochi,740.8376623376623,"{""type"":""Point"",""coordinates"":[76.2673,9.9312]}"
101,Kolhapur,596.746835443038,"{""type"":""Point"",""coordinates"":[74.2433,16.704999999999995]}"
102,Kolkata,908.3598484848485,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
103,Kollam,524.6448598130842,"{""type"":""Point"",""coordinates"":[76.6141,8.8932]}"
104,Korba,816.8659217877096,"{""type"":""Point"",""coordinates"":[82.7501,22.359499999999997]}"
105,Kota,503.31932773109247,"{""type"":""Point"",""coordinates"":[75.8648,25.2138]}"
106,Kozhikode,696.895238095238,"{""type"":""Point"",""coordinates"":[75.7804,11.2588]}"
107,Kurnool,662.1277372262773,"{""type"":""Point"",""coordinates"":[78.0373,15.828100000000001]}"
108,Latur,622.1475409836065,"{""type"":""Point"",""coordinates"":[76.5604,18.408799999999996]}"
109,Loni,640.24375,"{""type"":""Point"",""coordinates"":[77.288,28.7515]}"
110,Lucknow,717.8229166666666,"{""type"":""Point"",""coordinates"":[80.9462,26.846699999999995]}"
111,Ludhiana,580.1299019607843,"{""type"":""Point"",""coordinates"":[75.8573,30.90050000000001]}"
112,Madurai,610.3804347826087,"{""type"":""Point"",""coordinates"":[78.1198,9.925199999999998]}"
113,Maheshtala,881.4787234042553,"{""type"":""Point"",""coordinates"":[88.2532,22.5086]}"
114,Malappuram,588.4942528735633,"{""type"":""Point"",""coordinates"":[76.0748,11.073499999999997]}"
115,Malegaon,471.0,"{""type"":""Point"",""coordinates"":[74.5288,20.553699999999996]}"
116,Mancherial,920.0934959349594,"{""type"":""Point"",""coordinates"":[79.4287,18.870800000000003]}"
117,Mandya,571.1992481203008,"{""type"":""Point"",""coordinates"":[76.8951,12.524399999999998]}"
118,Mangalore,604.3627450980392,"{""type"":""Point"",""coordinates"":[74.856,12.9141]}"
119,Mathura,608.8041958041958,"{""type"":""Point"",""coordinates"":[77.6737,27.4924]}"
120,Meerut,577.367403314917,"{""type"":""Point"",""coordinates"":[77.7064,28.984499999999997]}"
121,Mira-Bhayandar,522.8011695906433,"{""type"":""Point"",""coordinates"":[72.8544,19.295200000000005]}"
122,Moradabad,646.3942857142856,"{""type"":""Point"",""coordinates"":[78.7733,28.8386]}"
123,Mumbai,582.6179775280899,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
124,Munger,732.491452991453,"{""type"":""Point"",""coordinates"":[86.4735,25.3746]}"
125,Muzaffarnagar,572.0602409638554,"{""type"":""Point"",""coordinates"":[77.7041,29.473700000000004]}"
126,Muzaffarpur,730.8851851851853,"{""type"":""Point"",""coordinates"":[85.3647,26.1209]}"
127,Mysore,548.9272727272728,"{""type"":""Point"",""coordinates"":[76.6394,12.295800000000002]}"
128,Nagpur,798.1033333333334,"{""type"":""Point"",""coordinates"":[79.0882,21.145800000000005]}"
129,Naihati,879.2559055118111,"{""type"":""Point"",""coordinates"":[88.4194,22.894800000000004]}"
130,Nanded,685.5944055944055,"{""type"":""Point"",""coordinates"":[77.321,19.138299999999997]}"
131,Nashik,496.4806451612903,"{""type"":""Point"",""coordinates"":[73.7898,19.997500000000002]}"
132,Navi Mumbai,553.0653409090909,"{""type"":""Point"",""coordinates"":[73.0297,19.033]}"
133,Navsari,551.0109289617486,"{""type"":""Point"",""coordinates"":[72.952,20.946700000000003]}"
134,Nellore,634.1782945736434,"{""type"":""Point"",""coordinates"":[79.98650000000002,14.442600000000002]}"
135,Nizamabad,761.3830409356725,"{""type"":""Point"",""coordinates"":[78.0941,18.6725]}"
136,Noida,615.7814371257485,"{""type"":""Point"",""coordinates"":[77.391,28.535500000000003]}"
137,Ozhukarai,612.6686046511627,"{""type"":""Point"",""coordinates"":[79.7852,11.934099999999999]}"
138,Palakkad,557.9761904761905,"{""type"":""Point"",""coordinates"":[76.6548,10.7867]}"
139,Pali,406.314606741573,"{""type"":""Point"",""coordinates"":[73.3234,25.772500000000004]}"
140,Panihati,896.9307692307693,"{""type"":""Point"",""coordinates"":[88.3748,22.690200000000004]}"
141,Panipat,525.8917910447761,"{""type"":""Point"",""coordinates"":[76.9635,29.390900000000002]}"
142,Parbhani,675.3211920529802,"{""type"":""Point"",""coordinates"":[76.77670000000002,19.2704]}"
143,Patiala,564.5558659217877,"{""type"":""Point"",""coordinates"":[76.3869,30.3398]}"
144,Patna,730.2438016528926,"{""type"":""Point"",""coordinates"":[85.1376,25.5941]}"
145,Pimpri-Chinchwad,560.3942307692307,"{""type"":""Point"",""coordinates"":[73.7997,18.629799999999996]}"
146,Puducherry,607.0328947368421,"{""type"":""Point"",""coordinates"":[79.8083,11.941600000000001]}"
147,Pune,567.991017964072,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
148,Purnia,830.9431818181818,"{""type"":""Point"",""coordinates"":[87.4753,25.7771]}"
149,Raichur,700.3965517241379,"{""type"":""Point"",""coordinates"":[77.3566,16.2076]}"
150,Raipur,860.4516129032259,"{""type"":""Point"",""coordinates"":[81.6296,21.2514]}"
151,Rajahmundry,796.0857142857143,"{""type"":""Point"",""coordinates"":[81.804,17.0005]}"
152,Rajkot,437.2137096774194,"{""type"":""Point"",""coordinates"":[70.8022,22.3039]}"
153,Rajnandgaon,882.452380952381,"{""type"":""Point"",""coordinates"":[81.0299,21.0974]}"
154,Rampur,623.377049180328,"{""type"":""Point"",""coordinates"":[79.025,28.789499999999997]}"
155,Ranchi,604.4444444444445,"{""type"":""Point"",""coordinates"":[85.3096,23.3441]}"
156,Ratlam,466.5940170940171,"{""type"":""Point"",""coordinates"":[75.037,23.3342]}"
157,Rayagada,892.1830357142857,"{""type"":""Point"",""coordinates"":[83.4162,19.1726]}"
158,Rohtak,531.0645161290322,"{""type"":""Point"",""coordinates"":[76.6066,28.895500000000002]}"
159,Roorkee,563.2272727272727,"{""type"":""Point"",""coordinates"":[77.888,29.8543]}"
160,Saharanpur,549.8067010309278,"{""type"":""Point"",""coordinates"":[77.5452,29.967900000000004]}"
161,Salem,602.5046728971963,"{""type"":""Point"",""coordinates"":[78.146,11.6643]}"
162,Sambalpur,950.5964912280701,"{""type"":""Point"",""coordinates"":[83.9812,21.466900000000003]}"
163,Sangli,574.3646408839779,"{""type"":""Point"",""coordinates"":[74.5815,16.8524]}"
164,Satara,489.81021897810217,"{""type"":""Point"",""coordinates"":[74.0183,17.68049999999999]}"
165,Shahjahanpur,685.7292817679559,"{""type"":""Point"",""coordinates"":[79.9094,27.8815]}"
166,Shimla,335.5101351351351,"{""type"":""Point"",""coordinates"":[77.1734,31.104800000000004]}"
167,Shivamogga,579.7450980392157,"{""type"":""Point"",""coordinates"":[75.5681,13.9299]}"
168,Shivpuri,493.8666666666667,"{""type"":""Point"",""coordinates"":[77.657,25.423500000000004]}"
169,Sikar,528.9074074074074,"{""type"":""Point"",""coordinates"":[75.1399,27.609399999999997]}"
170,Siliguri,993.4285714285713,"{""type"":""Point"",""coordinates"":[88.39530000000002,26.7271]}"
171,Singrauli,667.5969387755101,"{""type"":""Point"",""coordinates"":[82.6754,24.199]}"
172,Sitapur,674.9625668449198,"{""type"":""Point"",""coordinates"":[80.6744,27.561900000000005]}"
173,Solapur,616.5471014492754,"{""type"":""Point"",""coordinates"":[75.90640000000002,17.6599]}"
174,South Dumdum,916.1079136690648,"{""type"":""Point"",""coordinates"":[88.4,22.61]}"
175,Srinagar,300.4756097560976,"{""type"":""Point"",""coordinates"":[74.79730000000002,34.08370000000001]}"
176,Surat,559.3448275862069,"{""type"":""Point"",""coordinates"":[72.8311,21.1702]}"
177,Thane,544.5740740740741,"{""type"":""Point"",""coordinates"":[72.9781,19.2183]}"
178,Thanjavur,561.6938775510205,"{""type"":""Point"",""coordinates"":[79.1378,10.786700000000003]}"
179,Thrissur,546.4191919191919,"{""type"":""Point"",""coordinates"":[76.2144,10.5276]}"
180,Tiruchirappalli,526.9827586206897,"{""type"":""Point"",""coordinates"":[78.7047,10.790500000000002]}"
181,Tirunelveli,527.5921052631579,"{""type"":""Point"",""coordinates"":[77.75670000000001,8.7139]}"
182,Tirupati,600.4035087719299,"{""type"":""Point"",""coordinates"":[79.4192,13.6288]}"
183,Tiruppur,623.0481927710844,"{""type"":""Point"",""coordinates"":[77.3411,11.108500000000001]}"
184,Tiruvottiyur,518.2826086956522,"{""type"":""Point"",""coordinates"":[80.3042,13.157800000000002]}"
185,Tumkur,549.2530120481928,"{""type"":""Point"",""coordinates"":[77.101,13.340899999999998]}"
186,Udaipur,441.7638888888889,"{""type"":""Point"",""coordinates"":[73.7125,24.5854]}"
187,Ujjain,503.92672413793105,"{""type"":""Point"",""coordinates"":[75.7849,23.1793]}"
188,Ulhasnagar,535.3040935672515,"{""type"":""Point"",""coordinates"":[73.16450000000002,19.221500000000002]}"
189,Vadodara,564.7294520547946,"{""type"":""Point"",""coordinates"":[73.1812,22.30720000000001]}"
190,Varanasi,666.4391891891892,"{""type"":""Point"",""coordinates"":[82.9739,25.3176]}"
191,Vasai-Virar,522.3522727272727,"{""type"":""Point"",""coordinates"":[72.8397,19.391900000000003]}"
192,Vellore,535.7718446601941,"{""type"":""Point"",""coordinates"":[79.1325,12.9165]}"
193,Vijayanagaram,975.05859375,"{""type"":""Point"",""coordinates"":[83.39560000000002,18.1165]}"
194,Vijayawada,728.7808988764045,"{""type"":""Point"",""coordinates"":[80.648,16.5062]}"
195,Viluppuram,558.8309859154929,"{""type"":""Point"",""coordinates"":[79.4924,11.9398]}"
196,Visakhapatnam,866.2411347517731,"{""type"":""Point"",""coordinates"":[83.2185,17.6868]}"
197,Warangal,871.8141592920354,"{""type"":""Point"",""coordinates"":[79.5941,17.9784]}"
