system:index,City,Mean_Methane_Level,.geo
0,Agartala,1944.7502847670114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Agra,1938.8452988736483,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Ahmedabad,1937.1729178156384,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Ahmednagar,1916.0995340902057,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Aizawl,,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Ajmer,1913.7135001623226,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Akola,1922.88117084997,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Alappuzha,1926.6385499516643,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Aligarh,1941.1231230002518,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Allahabad,1936.4589808698192,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Ambattur,1928.3355797938677,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Ambikapur,1921.2403565037655,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Amravati,1922.4810259892663,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Amreli,1928.538742196963,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Amritsar,1919.9203525685693,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Anand,1930.4725592215254,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Anantapur,1934.406878678186,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Arrah,1937.7117652650381,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Asansol,1930.7106423459802,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Aurangabad,1929.1700267250649,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Avadi,1927.3318055194563,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Bangalore,1929.0968695025272,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Bardhaman,1939.0242801650106,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Bareilly,1937.5784260461933,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Belgaum,1924.5583290114291,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Bellary,1931.459498832967,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Berhampur,1929.1073491578172,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Bettiah,1927.837175455668,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Bhagalpur,1934.7322000427755,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Bharatpur,1930.6644225701773,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Bhatpara,1930.5206951776654,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Bhavnagar,1930.3614999046438,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Bhilai,1926.6266759113807,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Bhilwara,1922.580794113283,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Bhiwandi,1948.372839155493,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Bhiwani,1922.8874151069244,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,Bhopal,1925.2281263280497,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,Bhubaneswar,1939.902407218241,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,Bidar,1922.0034602250573,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,Bijapur,1933.5032836332919,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,Bikaner,1925.4932651913116,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,Bilaspur,1931.184506439848,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,Bokaro,1935.3883770757895,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,Bulandshahr,1941.6699044255554,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,Burhanpur,1916.3632077256655,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,Chandigarh,1908.4008000984823,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,Chennai,1917.0322874301953,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,Coimbatore,1943.8832764282065,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,Cuttack,1937.240539549962,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,Darbhanga,1932.0210466181595,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,Davanagere,1924.4318882829052,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,Dehradun,1900.6601537830188,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,Delhi,1937.8270014641166,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,Dhanbad,1929.9761276786073,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,Dhule,1923.6051746440908,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,Dibrugarh,1912.9170912070383,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,Durgapur,1924.688310091202,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,Erode,1933.050609723012,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,Faridabad,1942.6028196536604,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,Farrukhabad,1934.3118258588672,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,Firozabad,1939.6895928818726,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,Gandhinagar,1931.7441248696375,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,Gaya,1934.5484720247,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,Ghaziabad,1940.7383891632305,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,Giridih,1928.7004412919473,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,Gopalpur,1918.2479251185196,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,Gulbarga,1935.1200747494931,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,Guna,1922.2229274336523,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,Guntur,1927.6440046101459,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,Gurgaon,1935.0262823564594,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,Guwahati,1931.0385053822215,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,Gwalior,1927.024447459814,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,Hanumangarh,1928.1671387471986,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,Hapur,1937.9991204203172,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,Hisar,1923.348052879117,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,Hosur,1931.3528736163298,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,Howrah,1943.0570134563905,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,Hubli-Dharwad,1927.539480658151,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,Hugli,1930.677653625774,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,Hyderabad,1936.7842028530326,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,Ichalkaranji,1922.6172025848916,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,Indore,1927.7217741122427,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,Jabalpur,,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,Jaipur,1934.9768407687604,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,Jalandhar,1928.798729849087,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,Jalgaon,1925.4485679582833,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,Jalna,1923.0132066905076,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,Jammu,1904.7365948910056,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,Jamnagar,1928.5827240637059,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,Jamshedpur,1918.3834165377366,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,Jhansi,1931.5608963814802,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,Jodhpur,1925.112871645361,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,Kadapa,1924.58443818333,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,Kakinada,1922.7749933266373,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,Kalyan-Dombivli,1939.568005249497,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,Kamarhati,1946.1109328968114,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,Kanchipuram,1931.575951589487,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,Kanpur,1940.7479016839045,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,Karimnagar,1937.0040853923144,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,Karnal,1924.772025234981,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,Kochi,1925.5896048065633,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,Kolhapur,1926.7501255780924,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,Kolkata,1948.3309463159128,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,Kollam,1929.8697693092931,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,Korba,1923.823579194797,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,Kota,1924.5863443235703,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,Kozhikode,1912.1717113424231,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,Kurnool,1930.1791813492473,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,Latur,1917.8883988241716,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,Loni,1941.9412599588668,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,Lucknow,1931.9356538550471,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,Ludhiana,1925.185989605287,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,Madurai,1932.1928968953525,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,Maheshtala,1937.745431165564,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,Malappuram,1920.1489008599444,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,Malegaon,1931.1462090909974,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,Mancherial,1932.3354102184421,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,Mandya,1934.5858521583243,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,Mangalore,1914.2660706621718,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,Mathura,1933.3524195453701,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,Meerut,1936.2014459214124,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,Mira-Bhayandar,1930.6438092124222,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,Moradabad,1927.809177089766,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,Mumbai,1943.8944310036406,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,Munger,1947.9974875628411,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,Muzaffarnagar,1929.1431436338596,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,Muzaffarpur,1932.289895993672,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,Mysore,1933.9095926683747,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,Nagpur,1925.729864214744,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,Naihati,1930.506128063554,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,Nanded,1927.2296594176569,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,Nashik,1923.7406568356785,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,Navi Mumbai,1938.1312563713852,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,Navsari,1930.7851929383905,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,Nellore,,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,Nizamabad,1934.6101818976117,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,Noida,1956.6397941313137,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,Ozhukarai,1915.8349255038117,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,Palakkad,1928.2389413887097,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,Pali,1912.0302591511122,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,Panihati,1943.1440564575532,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,Panipat,1928.7555769344654,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,Parbhani,1920.8892795532404,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,Patiala,1922.8114852241952,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,Patna,1939.553401553816,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,Pimpri-Chinchwad,1930.467559539972,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,Puducherry,1904.5399606393053,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,Pune,1931.465638863215,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,Purnia,1939.0623371908962,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,Raichur,1939.1417300394428,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,Raipur,1928.2683130504759,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,Rajahmundry,1933.600502246399,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,Rajkot,1925.5485472766622,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,Rajnandgaon,1926.5627364941565,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,Rampur,1929.2077568287434,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,Ranchi,1920.5559036829109,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,Ratlam,1920.746314960846,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,Rayagada,,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,Rohtak,1925.9148767072911,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,Roorkee,1920.7752159846025,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,Saharanpur,1923.411400219739,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,Salem,1932.3225527033126,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,Sambalpur,1930.8123582705725,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,Sangli,1923.0876475052726,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,Satara,1912.5542731262663,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,Shahjahanpur,1932.4763665595272,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,Shimla,,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,Shivamogga,1924.8505750334637,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,Shivpuri,1924.9927390766368,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,Sikar,1923.0421792821885,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,Siliguri,1937.6556480626048,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,Singrauli,1926.680649284416,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,Sitapur,1927.3766014882644,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,Solapur,1934.3133148904783,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,South Dumdum,1950.1862871688782,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,Srinagar,1906.0187781446969,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,Surat,1941.193417779066,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,Thane,1939.3111458425653,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,Thanjavur,1933.7642548306471,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,Thrissur,1926.0053378271452,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,Tiruchirappalli,1915.387600130925,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,Tirunelveli,1924.6012573234048,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,Tirupati,1941.0694831102958,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,Tiruppur,1937.6450611540915,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,Tiruvottiyur,1900.0689758585577,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,Tumkur,1918.3304747949455,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,Udaipur,1909.1121277136915,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,Ujjain,1924.8751357480035,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,Ulhasnagar,1941.762215529835,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,Vadodara,1939.258615635302,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,Varanasi,1938.4992477124113,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,Vasai-Virar,1931.675784334416,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,Vellore,1931.124194270959,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,Vijayanagaram,1931.8839788821133,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,Vijayawada,1932.3064897203608,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,Viluppuram,1923.8611111087264,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,Visakhapatnam,1925.1912699804234,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,Warangal,1933.4763838756335,"{""type"":""MultiPoint"",""coordinates"":[]}"
